IEPFishCode,CommonName ,ScientificName,Family,,,,,,,,,,,,,
TUICHU ,Tui Chub ,Siphateles bicolor,Cyprinidae,,,,,,,,,,,,,
TULPER,Tule Perch ,Hysterocarpus traskii,Embiotocidae,,,,,,,,,,,,,
UNIMIC,Unidentified Centrarchidae - Micropterus (Black Bass),Micropterus spp.,Centrarchidae,,,,,,,,,,,,,
UNILEP,Unidentified Centrarchidae - Lepomis (Sunfish) ,Lepomis spp.,Centrarchidae,,,,,,,,,,,,,
UNIEMB,Unidentified Embiotocidae (Surfperch),,Embiotocidae,,,,,,,,,,,,,
UNILAM,Unidentified Lampetra (Lamprey) ,Lampetra spp.,Petromyzontidae,,,,,,,,,,,,,
UNISEB,Unidentified Sebastes (Rockfish),Sebastes spp. ,Scorpaenidae,,,,,,,,,,,,,
VERROC ,Vermilion Rockfish ,Sebastes miniatus ,Scorpaenidae,,,,,,,,,,,,,
WAKASA,Wakasagi ,Hypomesus nipponensis,Osmeridae,,,,,,,,,,,,,
WALSUR,Walleye Surfperch ,Hyperprosopon argenteum,Embiotocidae,,,,,,,,,,,,,
WARMOT,Warmouth ,Lepomis gulosus,Centrarchidae,,,,,,,,,,,,,
WESBLA ,Western Brook Lamprey ,Lampetra richardsoni ,Petromyzontidae,,,,,,,,,,,,,
WESMOS,Western Mosquitofish ,Gambusia affinis,Poeciliidae,,,,,,,,,,,,,
WHIBAS ,White Bass ,Morone chrysops,Moronidae,,,,,,,,,,,,,
WHICRA,White Crappie ,Pomoxis annularis,Centrarchidae,,,,,,,,,,,,,
WHICAT,White Catfish ,Ameiurus catus,Ictaluridae,,,,,,,,,,,,,
WHICRO,White Croaker ,Genyonemus lineatus,Sciaenidae,,,,,,,,,,,,,
WHISEB,White Seabass ,Atractoscion nobilis,Sciaenidae,,,,,,,,,,,,,
WHISEA,White Seaperch ,Phanerodon furcatus,Embiotocidae,,,,,,,,,,,,,
WHISTU,White Sturgeon ,Acipenser transmontanus,Acipenseridae,,,,,,,,,,,,,
WHISME,Whitebait Smelt ,Allosmerus elongatus,Osmeridae,,,,,,,,,,,,,
WOLEEL,Wolf Eel ,Anarrhichthys ocellatus,Anarhichadidae,,,,,,,,,,,,,
YELBUL ,Yellow Bullhead ,Ameiurus natalis,Ictaluridae,,,,,,,,,,,,,
YELPER ,Yellow Perch ,Perca flavescens,Percidae,,,,,,,,,,,,,
YELSEE ,Yellow Snake Eel ,Ophichthus zophochir ,Ophichthidae,,,,,,,,,,,,,
YELGOB,Yellowfin Goby ,Acanthogobius flavimanus,Gobiidae,,,,,,,,,,,,,
YELROC ,Yellowtail Rockfish ,Sebastes flavidus ,Scorpaenidae ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
